id,name,bic,country/id,zip,city,street,email,phone
bank_ng_178,NEW PRUDENTIAL BANK,090108,base.ng,,,,,
bank_ng_179,NIGERIAN NAVY MFB,090263,base.ng,,,,,
bank_ng_180,NIGERIAN POLICE FORCE MFB,070001,base.ng,,,,,
bank_ng_181,NIRSAL MFB,090194,base.ng,,,,,
bank_ng_182,NNEW WOMEN MFB,090283,base.ng,,,,,
bank_ng_183,NOVA MERCHANT BANK,060003,base.ng,,,,,
bank_ng_184,OHAFIA MFB,090119,base.ng,,,,,
bank_ng_185,OKPOGA MFB,090161,base.ng,,,,,
bank_ng_186,OLABISI ONABANJO UNIVERSITY MFB,090272,base.ng,,,,,
bank_ng_187,OMIYE MFB,090295,base.ng,,,,,
bank_ng_188,OMOLUABI MORTGAGE BANK,070007,base.ng,,,,,
bank_ng_189,ONE FINANCE,100026,base.ng,,,,,
bank_ng_190,PAGA,100002,base.ng,,,,,
bank_ng_191,PAGE FINANCIALS,070008,base.ng,,,,,
bank_ng_192,PALMPAY,999991,base.ng,,,,,
bank_ng_193,MONIEPOINT MFB,100033,base.ng,,,,,
bank_ng_194,PARALLEX MFB,090004,base.ng,,,,,
bank_ng_195,PARKWAY-READYCASH,100003,base.ng,,,,,
bank_ng_196,PATRICKGOLD MFB,090317,base.ng,,,,,
bank_ng_197,PAYATTITUDE ONLINE,110001,base.ng,,,,,
bank_ng_198,PAYCOM (OPAY),100004,base.ng,,,,,
bank_ng_199,PAYSTACK PAYMENTS,110006,base.ng,,,,,
bank_ng_200,PEACE MICROFINANCE BANK,50743,base.ng,,,,,
bank_ng_201,PECANTRUST MFB,090137,base.ng,,,,,
bank_ng_202,PENNYWISE MFB,090196,base.ng,,,,,
bank_ng_203,PERSONAL TRUST MFB,090135,base.ng,,,,,
bank_ng_204,PETRA MFB,090165,base.ng,,,,,
bank_ng_205,PILLAR MFB,090289,base.ng,,,,,
bank_ng_206,PLATINUM MORTGAGE BANK,070013,base.ng,,,,,
bank_ng_207,POLARIS BANK,000008,base.ng,,,,,
bank_ng_208,POLYUNWANA MFB,50864,base.ng,,,,,
bank_ng_209,POLYUWANA MFB,090296,base.ng,,,,,
bank_ng_210,PREMIUMTRUST BANK,105,base.ng,,,,,
bank_ng_211,PRESTIGE MFB,090274,base.ng,,,,,
bank_ng_212,PROVIDUS BANK,000023,base.ng,,,,,
bank_ng_213,PURPLEMONEY MFB,090303,base.ng,,,,,
bank_ng_214,QUICKFUND MFB,51293,base.ng,,,,,
